POLY_ID,MUNIC_RES,Localidade,txsuav10k,IPDM,tx_remedio10k,cob_esf,tx_apac_densito10k,tx_quedas_100k,taxa%_plano_idoso,tx%alfabet_2022
161,411130,ITAUNA DO SUL,28.94120756,0.6345,31.83146685,0.9896,34.72523657,1146.914286,0.2404371585,0.8412
162,411140,IVAI,24.84648223,0.711,4.630386229,1.0,2.723756605,139.15,0.03148345784,0.6488
163,411150,IVAIPORA,29.72227043,0.7463,19.32919099,1.0,1.956395849,775.1,0.001998155549,0.5777
164,411155,IVATE,36.10843282,0.754,49.42595836,1.0,91.457482,542.5,0.04150943396,0.8062
165,411160,IVATUBA,18.90294173,0.7769,190.3781837,0.889,4.28779693,744.1333333,0.8851913478,0.748
166,411170,JABOTI,28.9685079,0.7065,0.0,1.0,15.4146542,296,0.06391347099,0.7197
167,411180,JACAREZINHO,31.13428666,0.7455,16.33664119,0.813,74.46469006,109.4333333,0.02172295789,0.8436
168,411190,JAGUAPITA,26.58295309,0.8043,6.538939384,0.9912,29.42522723,1076.114286,0.007086285952,0.6989
169,411200,JAGUARIAIVA,20.79720469,0.7577,13.08931674,1.0,2.974844713,758.1714286,0.1938822447,0.7816
170,411210,JANDAIA DO SUL,29.87230013,0.7887,19.45457704,1.0,0.0,767.4428571,0.05630630631,0.7685
171,411220,JANIOPOLIS,32.2051665,0.7446,39.17974872,1.0,149.414296,1100.714286,0.2641046607,0.8037
172,411230,JAPIRA,35.24501653,0.5705,0.0,1.0,39.59455179,354.3,0.8981481481,0.8414
173,411240,JAPURA,28.52800662,0.7886,53.19148936,1.0,339.1921061,369.2,0.02504911591,0.6776
174,411250,JARDIM ALEGRE,37.72066543,0.649,21.96704943,1.0,22.96555167,472.1714286,0.007185628743,0.7301
175,411260,JARDIM OLINDA,20.41875216,0.7056,11.45737855,1.0,34.37213566,1330.671429,0.8080357143,0.821
176,411270,JATAIZINHO,34.99305284,0.6712,38.59745858,0.8805,22.55695631,1476.185714,0.06168042739,0.6693
177,411275,JESUITAS,18.18276421,0.7526,23.87737811,1.0,1.283730006,120.625,0.002073613271,0.6544
178,411280,JOAQUIM TAVORA,31.38502286,0.8093,17.78545658,1.0,36.84130291,229.22,0.1242454728,0.7653
