POLY_ID,MUNIC_RES,Localidade,txsuav10k,IPDM,ind_env%,tx_alf_5564,tx_alf_ac65,e2sfca_densito,tx_remedio10k,tx_consultas10k,ativcolet,cob_esf,tx_apac_densito10k,tx_cob_plano
341,412480,SAO JOAO,23.3782879802054,0.7928,0.7485,0.9428,0.8341,0.707714974880219,29.1070773744041,17.8767876787679,2.33333333333333,1.0,11.4594792812615,8.8
342,412490,SAO JOAO DO CAIUA,26.8677302467809,0.717,0.6763,0.7942,0.636,0.355230987071991,49.6396528901309,0.0,0.0,0.9247,31.8674314850223,7.3
343,412500,SAO JOAO DO IVAI,34.2286306192647,0.7521,1.0342,0.8348,0.6936,0.0812453031539917,18.3327714093055,0.0,0.0,1.0,0.0,6.9
344,412510,SAO JOAO DO TRIUNFO,22.6109076834227,0.6787,0.4894,0.8826,0.7937,0.177612006664276,15.4929194639993,0.0,0.0,1.0,1.35902802315784,2.6
345,412520,SAO JORGE D'OESTE,28.2441095271289,0.7952,0.7603,0.9206,0.8088,0.505415976047516,27.3090522321557,2.87463707706902,0.0,1.0,5.74927415413804,5.3
346,412530,SAO JORGE DO IVAI,26.2628279582431,0.7901,1.1094,0.9189,0.782,0.490752995014191,126.349460215914,0.0,7.0,1.0,1.99920031987205,29.9
347,412535,SAO JORGE DO PATROCINIO,34.2517747931279,0.7043,0.9058,0.8744,0.7129,0.0738309025764465,19.3477059148701,19.3477059148701,0.0,0.959,64.492353049567,0.7
348,412540,SAO JOSE DA BOA VISTA,19.6979683474097,0.713,0.7658,0.8924,0.8099,0.0,0.0,0.0,36.0,0.6046,12.4631299073574,1.6
349,412545,SAO JOSE DAS PALMEIRAS,19.191702854601,0.7147,0.6651,0.8271,0.6643,0.249724000692368,7.8702974972454,0.0,0.0,1.0,0.0,2.6
350,412550,SAO JOSE DOS PINHAIS,19.7912031010424,0.7943,0.3723,0.9563,0.8894,0.246998995542526,54.2253666324015,7.15739494387483,68.5,0.5222,81.4411399992342,20.9
351,412555,SAO MANOEL DO PARANA,28.0197854927925,0.7973,0.9579,0.8914,0.654,0.382025986909866,105.724049551474,0.0,38.4545454545455,1.0,491.243058521999,1.4
352,412560,SAO MATEUS DO SUL,27.6324674871044,0.7702,0.5204,0.9433,0.8855,0.237765997648239,16.5260284948794,0.83464790378179,28.6666666666667,0.5948,266.252681306391,11.8
353,412570,SAO MIGUEL DO IGUACU,24.6528609968164,0.7758,0.565,0.9016,0.8221,0.883890986442566,172.854351420412,4.83133280367611,7.69387755102041,0.9552,84.8167314423139,8.1
354,412575,SAO PEDRO DO IGUACU,16.8730497581305,0.6907,0.8215,0.8796,0.7683,0.416413992643356,56.6884497283678,24.6043618612708,0.0,1.0,1.96834894890166,9.9
355,412580,SAO PEDRO DO IVAI,34.990499582161,0.7099,0.7991,0.8476,0.7167,0.125116005539894,5.58284948637785,0.0,1.0,1.0,0.0,11.6
356,412590,SAO PEDRO DO PARANA,32.4222072321997,0.6796,0.7582,0.892,0.7378,0.0204917006194592,84.2606462657822,0.0,0.0,1.0,139.096939867323,8.1
